jobtitle,company,jobindustry,salary,link,scraping_date,searchkeyword,responsibilities,requirements,skills_needed,job_id,employment,seniority,min_salary,max_salary,salarytype
Senior Data Scientist,MICROSEC PTE. LTD.,Telecommunications,"$4,500to$6,500",https://www.mycareersfuture.sg/job/senior-data-scientist-microsec-35100f134dc2969b86a7c83b3d4ac596,24/4/19,data scientist,"Responsibilities: 1. Developing, enhancing, automating, and managing analytics models for anomaly detection. 2. Run those models into production environment with static as well as distributed databases. 3. Exploring and evaluating new digital tools and techniques to improve the product’s operational capabilities 4. Provide engineering support of key testing activities, including support of laboratory and field testing activities Outcome: The candidate will get to work on the state of the art intrusion attacks and how to prevent them. As a startup company, the candidate will get to work on wide domain of technologies which will increase the breadth of the experience of the candidate. This will provide an insight information about the industry trend and will groom the candidate for future prospects.",": At least 5 year of experience in Python, Unix/Linux with machine learning tools including Tensorflow, LSTM and other models. Should have designed and built at least one system from ground up and made it into an application. Should also have experience in building APIs and using it for application integration along with Visualization tools using Python based production environment.","['Oracle', 'Data Modeling', 'Data Warehousing', 'Business Intelligence', 'Database Design', 'ETL', 'SDLC', 'DB2', 'Data Integration', 'Databases', 'Enterprise Architecture', 'SQL', 'Integration', 'Master Data Management', 'Performance Tuning', 'Requirements Analysis', 'Business Objects', 'Data Governance', 'Erwin', 'Microsoft SQL Server']", JOB-2019-0087195 ,"Permanent, Full Time",Senior Management,4500,6500,Monthly
Data Scientist,XYPHER PTE. LTD.,Information Technology,"$4,500to$6,000",https://www.mycareersfuture.sg/job/data-scientist-xypher-67ddc86910fa153cc3fa5197cff8b11d,24/4/19,data scientist,"As a Data Scientist at DATAVLT, you will be reporting to the Head of Data Scientist and Software Engineers who are focused on solving complex business problems using blockchain and data science as an underlying technology.   Responsibilities As our Data Scientist, you will  Process confidential data and information according to guidelines Help on build innovative data products using cutting edge tools and technologies Develop custom data models and algorithms to apply to data sets. Undertake pre-processing of structured and unstructured data Analyse large amounts of information to discover trends and patterns Propose solutions and strategies to business challenges Coordinate with different functional teams to implement models and monitor outcomes.   ","Ideal candidate should possess the skills as specified below:   Required Technical and Professional Expertise:  Proficiency using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets. Have foundational knowledge of data structures and algorithms Excellent analytical, interpersonal and communication skills. Strong problem-solving skills with an emphasis on product development. Experience working with and creating data architectures. Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks. Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications. Excellent written and verbal communication skills for coordinating across teams. Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Dockers, MySQL, etc. Experience visualizing/presenting data for stakeholders using: Tableau, High charts, D3, gg plot, etc.    Good to have  Minimum 3 years working experience manipulating data sets and building statistical models, has a Master’s in Statistics, Mathematics, Computer Science or another quantitative field, and is familiar with the software/tools Experience with customizing Data Visualization tools Have fundamental knowledge of blockchain technology Software development experience added advantage A drive to learn and master new technologies and techniques.    What's in it for you  Help shape the future of a Data Analytics and Blockchain start-up in Singapore with global aspirations Be yourself, be engaged and have fun while you're at it Fair remuneration Open work culture ","['Science', 'Assay Development', 'Biochemistry', 'Molecular Biology', 'Research', 'Lifesciences', 'Algorithms', 'Cell Culture', 'PCR', 'Physics', 'Statistics', 'Cell Biology', 'Drug Discovery', 'LaTeX', 'Matlab', 'Simulations', 'Biopharmaceuticals', 'Biotechnology', 'Computer Science', 'Genetics']", JOB-2019-0086094 ,Full Time,"Professional, Executive",4500,6000,Monthly
"Data Scientist, Trusted AI",DATAROBOT SINGAPORE PTE. LTD.,Information Technology,"$90,000to$150,000",https://www.mycareersfuture.sg/job/data-scientist-trusted-ai-datarobot-singapore-67508a47a407453fb87955db2b36cb8c,24/4/19,data scientist,"Have you ever wanted to learn why a model made a prediction? As a Data Scientist on our Trusted AI team, you will actively contribute to making AI more accessible, actionable, and explainable. The DataRobot Trusted AI team is pioneering the industry by offering cutting edge solutions to optimize AI transparency, explainability, and interpretability. We are responsible for automated insights into how models make their predictions, explain why/how those models perform and provide a world class tool chain to interpret data to improve trust in AI and automated machine learning. We are looking for talented people with deep knowledge of Machine Learning / Statistics and strong engineering skills. Your responsibilities will include the automation of data science best practices, build tools to detect and address data and model issues, build models that deliver world class tradeoff between accuracy and explainability and develop state-of-the-art reports and insights. This position provides the opportunity to build a core component of our platform to increase the adoption of AI across industries. Individuals seeking employment at DataRobot are considered without regards to race, color, religion, national origin, age, sex, marital status, ancestry, physical or mental disability, veteran status, gender identity, or sexual orientation.","Responsibility  Integrate leading open source solutions and build in-house solutions to explain the output of any machine learning model Design, build and improve solutions to interpret models and analyze their performance Design, build and improve tools to detect, report and address automatically dirty data Automate interesting and actionable insights from data Design and build solutions to integrate domain knowledge into the modelling Automate the construction of simple models that deliver state-of-the-art accuracy Contribute to a transparent and accurate documentation of the inner workings of models  Main   5+ years of combined python Engineering / Data Science experience     Minimum 1 year of Engineering experience Minimum 1 year of Data Science experience   ","['Engineering', 'Project Management', 'Testing', 'Matlab', 'Linux', 'Manufacturing', 'Microsoft Office', 'Management', 'Product Development', 'C++', 'Java', 'Integration', 'Project Planning', 'Software Development', 'C', 'Telecommunications', 'AutoCAD', 'Python', 'Program Management', 'Project Engineering']", JOB-2019-0058795 ,Permanent,Professional,90000,150000,Annually
Data Scientist,SEPHORA DIGITAL SEA PTE. LTD.,Information Technology,"$4,000to$6,000",https://www.mycareersfuture.sg/job/data-scientist-sephora-digital-sea-0c4d95faf8ac62263e8da213c70fc868,24/4/19,data scientist,"The Sephora Data team is expanding. As a critical business function, finding the right people to contribute to our high growth, fast changing environment is critical and challenging. The Data team’s mission is to create the necessary data pipelines between our applications and enable teams across the business to use the date for informed decision making. To succeed in this team you’ll be super smart, passionate about innovation and trying new approaches, and you’ll be a skilled programmer with strong commercial instincts and passion for business success. We are looking for an exceptional Data Scientist to add to our team.","To be successful in this role  You will need to be well-versed in all major Machine Learning paradigms (including but not restricted to processing of structured and unstructured data, bias/variance tradeoff, classic classification/regression algorithms, deep learning concepts, representation learning, explainability, unsupervised methods). You will need to be able to communicate clearly with our internal stakeholders, technical or non-technical, deeply understand business priorities and formalize them into challenges that can be tackled with engineering effort, whether it may involve ML or not. You will enjoy being an advocate for Data Science within Sephora SEA and the LVMH group. This involves being naturally prone to knowledge sharing and promotion of a healthy intellectual sharing environment. You will need to be able to work autonomously and have the initiative to come up with original solutions to meaningful challenges. You will need to be able to deal with several concurrent projects and prioritize according to objectives and business impact. You will need to be able to (or be keen on learning how) to setup and deploy machine learning pipelines in a production environment. You will find it rewarding to actively contribute to an organisation of a global group by using ML solutions.  What we expect from you    You are a Python master and numerical libraries are of no mystery to you. Big bonus points if you are also familiar with either of Node.js/Go. You write SQL like you write English. Even better if BigQuery is not unknown to you. Expertise in a deep learning framework (tensorflow/pytorch) is a big plus. You have experience in getting your hands dirty and are conscious of the reality of datasets (in contrast to academic datasets). You are result-driven. Not only do you care about benchmark scores, you are also keen on deploying your algorithms and make them adopted by your stakeholders. Experience with Cloud services (Google Cloud/AWS) for Machine Learning pipeline deployment is highly appreciated.  If these are aspects you value as a Data Scientist, please apply! Your attitude, experience and passion is more important than specific experience. You might be a fresh grad or you might have 10 or more years of experience: it is all about the passion to excel that you will bring to our team & our business.","['Data Management', 'Management', 'Databases', 'Microsoft Office', 'Project Management', 'Analysis', 'Data Analysis', 'Clinical Data Management', 'SQL', 'Clinical Trials', 'Research', 'EDC', 'Leadership', 'Program Management', 'GCP', 'Oracle Clinical', 'Information Management', 'Microsoft SQL Server', 'Business Analysis', 'Earth Science']", JOB-2019-0031266 ,Full Time,Executive,4000,6000,Monthly
Senior Data Scientist,VALIDUS CAPITAL PTE. LTD.,Risk Management ...,"$5,000to$8,000",https://www.mycareersfuture.sg/job/senior-data-scientist-validus-capital-e5b4123d916ffbed2df5cf8e73145a24,24/4/19,data scientist," Experience with building insights using varied/alternate data sources Actively collaborate with technology team, product management, operations teams and other stake holders. Move seamlessly between business problems and coding. Present complicated analytical solutions to a non-technical audience Work with very large data sets residing in different data stores in disparate format Readiness to work in a highly results-oriented and fast changing landscape in a fintech startup Fluency with R, python and commonly used machine learning frameworks Fluency with excel and advanced excel Work closely with various stakeholders in the organization to design and implement the data warehouse/data lake Build key data sets to empower insights Credit risk modelling for underwriting and portfolio monitoring using traditional and alternate data sources. Enhancing data collection procedures to include information that is relevant for building analytic systems Define the right type of data and metadata, ensure consistent, clean and integrated data which will be used by business leaders to make more informed decisions. "," Min 4+ years experience doing quantitative analysis; Preferred experience in banking, payments, B2B Lending space BA/BS in Computer Science, Math, Engineering, Statistics or other technical field. Advanced degrees preferred. Fluency in SQL, Spark or other programming languages. Development experience in R, Python Advanced understanding of statistical analysis Ability to apply analytics in all aspects of the business - risk, marketing, process etc Must be entrepreneurial, and a problem solver ","['Analytics', 'Data Analysis', 'Analysis', 'Statistical Modeling', 'Web Analytics', 'Predictive Analytics', 'Predictive Modeling', 'Data Mining', 'Strategy', 'Segmentation', 'SAS', 'Customer Insight', 'Online Advertising', 'Business Analytics', 'Digital Marketing', 'E-commerce', 'Google Analytics', 'Omniture', 'Business Intelligence', 'Digital Strategy']", JOB-2019-0086696 ,"Permanent, Full Time",Middle Management,5000,8000,Monthly
Business Data Scientist,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Information Technology,"$5,000to$8,500",https://www.mycareersfuture.sg/job/business-data-scientist-manpower-staffing-services-24413589f6178366ef180c69a105d996,24/4/19,data scientist," Work closely with the business to identify issues and use data to propose solutions for effective decision making Merge, manage, interrogate and extract data to supply tailored reports to colleagues, customers or the wider organisation Maintain clear and coherent communication, both verbal and written, to understand data needs and report results Use machine learning tools and statistical techniques to produce solutions to problems Create clear reports that tell compelling stories about how customers or clients work with the business Horizon scan to stay up to date with latest technology, techniques and methods Conduct research from which you'll develop prototypes and proof of concepts Able to engage with client and demonstrate present technologies "," Minimum of 4-5 years’ experience with the standard data science stack -- Python, Numpy, Pandas, Scikit-Learn, scipy, matplotlib, NLTK, etc.). Familiarity with (some of) Keras, Tensorflow, Theano, R, C/C++, Java, Hadoop, or Spark Experience in relevant area of scientific disciplines (e.g., machine learning, numerical methods, signal processing, statistics, mathematics, and optimization) Ability to function in Linux operating system and development environment is nice to have    Interested candidates can click apply for more information. ** We regret to inform that only shortlisted candidates will be notified. ** We respect your privacy and all communication will be treated with confidentiality.  If you wish to know more about this position or explore other roles, please prepare your updated profile and get in touch with our consultants. Please note that your response to this advertisement and communications with us pursuant to this advertisement will constitute informed consent to the collection, use and/or disclosure of personal data by Manpower for the purpose of carrying out its business, in compliance with the relevant provisions of the Personal Data Protection Act 2012.  ","['Algorithms', 'Software Engineering', 'Computer Science', 'Distributed Systems', 'C++', 'High Performance Computing', 'Java', 'Linux', 'Software Development', 'Python', 'C', 'Machine Learning', 'Programming', 'Parallel Computing', 'Scientific Computing', 'Parallel Programming', 'MPI', 'Agile Methodologies', 'Artificial Intelligence', 'Cloud Computing']", JOB-2019-0086766 ,"Contract, Full Time",Executive,5000,8500,Monthly
Data Scientist,LAM RESEARCH SINGAPORE PTE LTD,Engineering,"$6,000to$9,000",https://www.mycareersfuture.sg/job/data-scientist-lam-research-singapore-2131bff1d3918fd50df6b0c70b7151b4,24/4/19,data scientist,"A technical expert who will work with multi-dimensional datasets from various time-series sensors to help develop generative and discriminative models. Responsibilities include creating Python applications that parse and format large data sets for analysis, developing or specifying DB pipelines for image storage and data retrievability, helping with creating and deploying apps while providing UX feedback, working with, and supply models to process engineers for increase speed to solutions and developing or specifying DB pipelines for image storage and data retrievability."," Bachelor or Masters in Data Science, Computer Science, Electrical Engineering, Physics, Materials Science or related field. At least one year of experience with creating code for formatting large data sets in Python, C, or R Solid mathematics background (linear algebra, probability, optimization). Knowledge in deep learning architectures for computer vision, and associated libraries and frameworks is preferred (Spark, Keras, Tensorflow, OpenCV, Skimage, etc.). Experience with solr, and SQL or HDFS/HBase is a plus At least three years of experience within the semiconductor or related field is preferred. Previous work analyzing multi-dimensional data, including segmentation, reconstruction, classification, or manipulation is a big plus Strong communication skills. ","['Market Research', 'Quantitative Research', 'Management', 'Marketing Strategy', 'Analytics', 'Customer Insight', 'Marketing Research', 'Qualitative Research', 'Marketing', 'Project Management', 'Research', 'Segmentation', 'Business Development', 'Strategy', 'Analysis', 'Business Strategy', 'Data Analysis', 'Team Management', 'CRM', 'Digital Marketing']", JOB-2019-0086647 ,"Permanent, Full Time",Professional,6000,9000,Monthly
"AVP, Data Scientist, Analytics & Innovation, Group Legal, Compliance and Secretariat (WD03653)",DBS BANK LTD.,Information Technology,"$6,500to$11,700",https://www.mycareersfuture.sg/job/avp-data-scientist-analytics-innovation-group-legal-compliance-secretariat-dbs-bank-2dc6e7ce9e62a4a4900b21681851d21c,24/4/19,data scientist,"Business Function   Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels.       Responsibilities     Conceptualise, develop and deliver relevant analytics models and solutions focusing but not limited to the area of Financial Crime. Condense analysis into actionable insights to inform decision making, develop strategy and standards for enhancing business performance and operations at LCS.  Facilitate deployment of finalised solution to production environment. Monitor model performance over time, improving and retraining model where necessary. Work with domain experts and data scientists from cross functional teams to drive projects and guide juniors as required. "," Minimum Bachelor’s degree with at least 8 years of relevant working experience. Excellent advanced analytics skills, with at least 5 years of prior industry experience in developing machine learning solutions for classification, prediction, forecasting and/or anomaly detection problems. Strong expertise in graph mining, deep learning and NLP. Familiarity with Big Data technologies such as Hadoop, Spark and Impala. Highly proficient in Python and Spark. Enjoy working on difficult problems, using cutting-edge tools in an agile environment. An understanding of the legal and compliance issues of complex banking organizations.      ","['Management', 'Banking', 'Risk Management', 'Leadership', 'Portfolio Management', 'Project Management', 'Strategy', 'Strategic Planning', 'Business Analysis', 'Business Development', 'Finance', 'Financial Analysis', 'Credit', 'Investment Banking', 'Investments', 'Capital Markets', 'Loans', 'Program Management', 'Equities', 'Vendor Management']", JOB-2019-0086637 ,Full Time,Senior Management,6500,11700,Monthly
"Manager, Data and Analytics, Advisory",ERNST & YOUNG ADVISORY PTE. LTD.,Information Technology,"$6,000to$12,000",https://www.mycareersfuture.sg/job/manager-data-analytics-advisory-ernst-young-advisory-727ec63e9e5c2537d3daf49f8384af07,24/4/19,data scientist,"EY Data and Analytics is the data and advanced analytics capability within EY Asia-Pacific.  We have vibrant practices in Australia, New Zealand, Singapore, Hong Kong, Korea, The Philippines and Malaysia. EY Data and Analytics creates intelligent client organizations using data & advanced analytics.  We go beyond strategy and provide end to end implementation of real life data environments and have some of the best architects, project managers, business analysts, data scientist, big data engineers, developers and consultants in the region.     Due to our continued growth we are looking for a talented, inquisitive and proactive Big Data IM join our team","REQUIREMENTS:   Bachelor degree and above in Analytics, Information Systems Management, Computer Science or related fields. Hands on experience in implementing data integration processes, designing and developing data models(ER/Dimensional/Vault), designing, developing and building in detail ETL/ELT processes or programs. Contributed in at least 2 phases of SDLC lifecycle and experience in Big Data, data warehouse, data analytics projects, data migration, change management process, and/or any IM (Information Management) related works. Experience with Hadoop Technologies such as HDFS/MapRFS, Map Reduce(II), Advanced HDFS ACLS, Hive, HBase, Cassandra, Impala, Spark, Drill, Sentry, Sqoop, Flume, Kafka, Storm, Zookeeper and zkClient tool Good understanding on Cloudera or Horton Works or MapR Hadoop Distribution with deep understanding of administration concepts Experience in working with RDBMS technologies such as, Oracle, Microsoft SQL Server, PostgreSQL, DB2, MySQL etc. Experience in MPP database technologies such as Teradata Hands-on experience on Spark, SparkSQL, Hive QL, Drill QL, Impala, Spark Data Frames and Flink CEP, Flink TableAPI&SQL as ETL framework Hands-on programming skill on Scala/Python using Spark/Flink Framework Strong knowledge of Big Data stream ingestion and IoT streaming using Flume, or Kafka, Storm, MQTT, RabbitMQ Good understanding Spark Memory management with and without Yarn memory management Should have basic understanding on Cloudera Manager or HortonWorks Ambari and MapR Control System Should have experience developing and designing in one or more NoSQL database components and objects using Cassandra, Mongo, HBase, CouchDB/Couchbase, Elasticsearch Should have experience developing and designing in one or more NoSQL database technologies such as Cassandra, Mongo, HBase, CouchDB/Couchbase, Elasticsearch etc. Should good working knowledge of HCatalog and Hive Metadata. Should have working knowledge of Kerberos authentication tool Experience in commercial ETL tools like Talend, Informatica or Alteryx will be added advantage Greenplum, IBM Pure Data etc. will be an added advantage Experience in working with RDBMS technologies such as, Oracle, Microsoft SQL Server, PostgreSQL, DB2, MySQL etc. Experience in MPP database technologies such as Teradata, Greenplum, IBM Pure Data etc. will be an added advantage Good knowledge of data warehouse and data management implementation methodology. Good knowledge of the Information Management framework, including operating model, data governance, data management, data security, data quality and data architecture. Knowledge and experience in  data visualisation concepts using tools such as SAS Visual Analytics or WRS, Tableau, Microsoft PowerBI or Reporting Services, IBM Cognos, SAP Business Objects, etc. will be an advantage. Ability to pick up new tools and able to be independent with minimal guidance from the project leads/managers. Strong analytical and creative problem solving capabilities. Ability to establish personal credibility quickly and demonstrate expertise. Ability to create a positive learning culture, coach and develop team members.      ADDITIONAL REQUIREMENTS:     4 to 10 years of experience in data warehouse, data analytics projects, change management process, and/or any IM (Information Management) related works. Delivered at least two (2) full SDLC lifecycle projects. At least one of the industry or domain experiences in Banking/ Telecommunications/ Consulting Preferably with experience in implementation best practices involving data management, data reconciliation, data duping, scheduling, etc. Able to assess design considerations in the aspect of data management and integration Experience with Agile/SCRUM/Kanban software implementation methodology Should have good knowledge in DevOps engineering using Continuous Integration/Delivery tools such as Docker, Jenkins, Puppet, Chef, GitHub Atlassian Jira etc. Certification in any of Hadoop Big Data tool/technology, data integration, data management, or visualisation tools is an added advantage. Knowledge about the infrastructure paradigms such as OS, network etc. is an added advantage. ","['Management', 'Leadership', 'Project Management', 'Strategic Planning', 'Strategy', 'Customer Service', 'Marketing', 'Sales', 'Change Management', 'Business Strategy', 'Training', 'Program Management', 'Business Development', 'Team Building', 'Process Improvement', 'Marketing Strategy', 'Operations Management', 'Microsoft Office', 'New Business Development', 'Social Media']", JOB-2019-0086047 ,"Permanent, Full Time",Manager,6000,12000,Monthly
Data Scientist,APPLE SOUTH ASIA PTE. LTD.,Logistics / Supply Chain,"$5,000to$10,000",https://www.mycareersfuture.sg/job/data-scientist-apple-south-asia-4b1683a8d3a9d8f9744377e6c674550f,24/4/19,data scientist,"Apple's Analytic Insight team is responsible for mitigating fraud, waste and abuse across Apple. We're looking for an extraordinary data scientist who is passionate about building and maintaining analytical solutions that have direct and measurable impact to Apple. This will be a groundbreaking role that focuses both on gleaning insights from data and the implementation of analytical solutions based on those insights.  We're seeking someone that has both a quantitative and technical background in addition to being naturally very curious.  Build and monitor effective reporting and alerting for fraud and operational health of a line of business. Takes the initiative to develop and automate regular and ad-hoc reports Perform ad-hoc and re-occurring statistical and data science analyses. Work closely with data warehouse architects and software developers to generate flawless business intelligence solutions for end users.  Support production analytic solutions. Present results of analyses to business units. Researches, and if applicable, implements new technologies and methods in the areas of data analysis, data visualization and presentation, and data glossaries and libraries.  "," Ability to provide relevant business insights with data. Programming skills in Python Experience with SQL, database modeling and data warehousing principles. Creativity to go beyond current tools to deliver the best solution to the problem. Data visualization experience in Matplotlib, Tableau, ggplot2 or a similar tool. Experience with data science algorithms including decision trees, probability networks, association rules, clustering, regression, and neural networks. Excellent presentation, communication and social skills, with solid attention to detail. Ability to work independently and make key decisions on projects. Strong business mindset, possessing an ability to condense complex analysis and technical concepts into clear and concise takeaways for business leaders. Ability to comprehensively understand data elements, sources and relationships in business and technical terms. Ability to operate appropriately and effectively in a dynamic, highly multi-functional, fast-paced environment. M.S. in Computer Science, Mathematics, Economics, Operations Research or related field OR B.S. in related field with 4+ years experience applying analytical techniques to real business problems. ","['Business Analysis', 'Project Management', 'Management', 'Requirements Analysis', 'Analysis', 'Process Improvement', 'Requirements Gathering', 'SDLC', 'Strategy', 'Business Process', 'Business Strategy', 'Leadership', 'Business Process Improvement', 'SQL', 'Business Intelligence', 'Data Analysis', 'Change Management', 'Microsoft Office', 'Management Consulting', 'Program Management']", JOB-2018-0237646 ,Full Time,Executive,5000,10000,Monthly
